ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Direction
1553102_a_at,1.41e-21,7.80e-24,-1.27e+01,43.6444326,-3.60,CCDC69,coiled-coil domain containing 69,Downregulated
225420_at,1.45e-21,8.01e-24,-1.26e+01,43.6175043,-5.10,GPAM,"glycerol-3-phosphate acyltransferase, mitochondrial",Downregulated
230351_at,1.49e-21,8.29e-24,-1.26e+01,43.584464,-3.52,FGF14-AS2,FGF14 antisense RNA 2,Downregulated
213247_at,1.57e-21,8.82e-24,-1.26e+01,43.5221485,-3.60,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",Downregulated
219398_at,1.57e-21,8.85e-24,-1.26e+01,43.5188974,-6.17,CIDEC,cell death inducing DFFA like effector c,Downregulated
229309_at,1.78e-21,1.01e-23,-1.26e+01,43.3844139,-4.65,ADRB1,adrenoceptor beta 1,Downregulated
226834_at,2.10e-21,1.21e-23,-1.26e+01,43.2115308,-4.07,CLMP,CXADR like membrane protein,Downregulated
225655_at,2.30e-21,1.33e-23,1.26e+01,43.1176689,3.58,UHRF1,ubiquitin like with PHD and ring finger domains 1,Upregulated
202920_at,2.52e-21,1.47e-23,-1.25e+01,43.0160826,-3.34,ANK2,"ankyrin 2, neuronal",Downregulated
218865_at,4.14e-21,2.47e-23,-1.24e+01,42.5022129,-3.90,MARC1,mitochondrial amidoxime reducing component 1,Downregulated
201286_at,4.55e-21,2.77e-23,1.24e+01,42.3897015,4.64,SDC1,syndecan 1,Upregulated
236038_at,4.59e-21,2.81e-23,-1.24e+01,42.3771716,-3.75,RNF150,ring finger protein 150,Downregulated
219230_at,4.90e-21,3.02e-23,-1.24e+01,42.3049983,-4.85,TMEM100,transmembrane protein 100,Downregulated
211922_s_at,5.02e-21,3.10e-23,-1.24e+01,42.2777074,-3.33,CAT,catalase,Downregulated
204389_at,5.55e-21,3.45e-23,-1.24e+01,42.1733035,-3.98,MAOA,monoamine oxidase A,Downregulated
1556427_s_at,5.69e-21,3.55e-23,-1.24e+01,42.1449349,-4.15,LRRN4CL,LRRN4 C-terminal like,Downregulated
204042_at,6.16e-21,3.89e-23,-1.24e+01,42.0549342,-3.59,WASF3,WAS protein family member 3,Downregulated
203228_at,6.68e-21,4.23e-23,1.23e+01,41.9723038,3.84,PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3,Upregulated
212224_at,1.03e-20,6.72e-23,-1.23e+01,41.5132543,-4.19,ALDH1A1,aldehyde dehydrogenase 1 family member A1,Downregulated
217232_x_at,1.45e-20,9.55e-23,-1.22e+01,41.1657288,-5.83,HBB,hemoglobin subunit beta,Downregulated
228186_s_at,1.83e-20,1.22e-22,-1.21e+01,40.9231408,-3.30,RSPO3,R-spondin 3,Downregulated
223836_at,1.97e-20,1.32e-22,-1.21e+01,40.8466184,-3.25,FGFBP2,fibroblast growth factor binding protein 2,Downregulated
207071_s_at,2.05e-20,1.38e-22,-1.21e+01,40.8001519,-3.15,ACO1,aconitase 1,Downregulated
222513_s_at,2.13e-20,1.45e-22,-1.21e+01,40.7490317,-4.59,SORBS1,sorbin and SH3 domain containing 1,Downregulated
228728_at,2.86e-20,1.99e-22,-1.21e+01,40.4385591,-4.23,CPED1,cadherin like and PC-esterase domain containing 1,Downregulated
209086_x_at,3.03e-20,2.11e-22,-1.20e+01,40.3788244,-3.69,MIR6756///MCAM,microRNA 6756///melanoma cell adhesion molecule,Downregulated
204422_s_at,3.19e-20,2.23e-22,-1.20e+01,40.3253189,-3.57,FGF2,fibroblast growth factor 2,Downregulated
205200_at,3.77e-20,2.65e-22,-1.20e+01,40.154497,-4.39,EXOSC7///CLEC3B,exosome component 7///C-type lectin domain family 3 member B,Downregulated
201839_s_at,3.87e-20,2.74e-22,1.20e+01,40.1236635,5.16,EPCAM,epithelial cell adhesion molecule,Upregulated
224352_s_at,4.02e-20,2.86e-22,-1.20e+01,40.0791025,-3.07,CFL2,cofilin 2,Downregulated
207092_at,4.22e-20,3.02e-22,-1.20e+01,40.0257703,-7.35,LEP,leptin,Downregulated
203337_x_at,4.32e-20,3.10e-22,-1.20e+01,39.9990479,-4.16,ITGB1BP1,integrin subunit beta 1 binding protein 1,Downregulated
207977_s_at,4.38e-20,3.18e-22,-1.20e+01,39.9764703,-4.08,DPT,dermatopontin,Downregulated
226448_at,4.90e-20,3.56e-22,-1.20e+01,39.8629771,-4.33,MIR1182///FAM89A,microRNA 1182///family with sequence similarity 89 member A,Downregulated
218631_at,4.94e-20,3.60e-22,-1.20e+01,39.8525549,-3.02,AVPI1,arginine vasopressin induced 1,Downregulated
235798_at,5.11e-20,3.73e-22,-1.19e+01,39.8165083,-3.53,TMEM170B,transmembrane protein 170B,Downregulated
223316_at,5.36e-20,3.93e-22,-1.19e+01,39.7657999,-4.26,CCDC3,coiled-coil domain containing 3,Downregulated
216594_x_at,5.95e-20,4.39e-22,-1.19e+01,39.6564818,-5.43,AKR1C1,aldo-keto reductase family 1 member C1,Downregulated
209576_at,7.81e-20,5.89e-22,-1.19e+01,39.3652797,-3.72,GNAI1,G protein subunit alpha i1,Downregulated
238593_at,8.32e-20,6.31e-22,1.18e+01,39.2960913,3.57,C11orf80,chromosome 11 open reading frame 80,Upregulated
213486_at,8.83e-20,6.73e-22,-1.18e+01,39.2327832,-3.78,COPG2IT1,COPG2 imprinted transcript 1 (non-protein coding),Downregulated
205220_at,9.17e-20,7.01e-22,-1.18e+01,39.1926781,-4.00,HCAR3,hydroxycarboxylic acid receptor 3,Downregulated
227140_at,1.24e-19,9.71e-22,1.18e+01,38.8700109,4.06,INHBA,inhibin beta A subunit,Upregulated
203358_s_at,1.32e-19,1.04e-21,1.18e+01,38.8026783,3.75,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,Upregulated
222725_s_at,1.43e-19,1.13e-21,-1.17e+01,38.7213322,-4.03,PALMD,palmdelphin,Downregulated
218625_at,1.60e-19,1.29e-21,-1.17e+01,38.5929744,-3.30,NRN1,neuritin 1,Downregulated
223430_at,1.94e-19,1.57e-21,-1.17e+01,38.3931101,-3.24,SIK2,salt inducible kinase 2,Downregulated
205709_s_at,2.26e-19,1.84e-21,1.17e+01,38.2366712,3.04,CDS1,CDP-diacylglycerol synthase 1,Upregulated
205005_s_at,2.41e-19,1.97e-21,-1.16e+01,38.1683021,-3.48,NMT2,N-myristoyltransferase 2,Downregulated
209616_s_at,3.04e-19,2.53e-21,-1.16e+01,37.9220798,-5.00,LOC100653057///CES1,liver carboxylesterase 1-like///carboxylesterase 1,Downregulated
204653_at,3.13e-19,2.62e-21,1.16e+01,37.8875594,4.66,TFAP2A,transcription factor AP-2 alpha,Upregulated
228501_at,3.22e-19,2.70e-21,-1.16e+01,37.8574592,-3.06,GALNT15,polypeptide N-acetylgalactosaminyltransferase 15,Downregulated
224964_s_at,3.96e-19,3.38e-21,-1.15e+01,37.636585,-3.89,GNG2,G protein subunit gamma 2,Downregulated
